Cell1Gain 0x9180 
Cell2Gain 0x9182 
Cell3Gain 0x9184 
Cell4Gain 0x9186
Cell5Gain 0x9188
Cell6Gain 0x918A
Cell7Gain 0x918C
Cell8Gain 0x918E
Cell9Gain 0x9190
Cell10Gain 0x9192
Cell11Gain 0x9194
Cell12Gain 0x9196
Cell13Gain 0x9198
Cell14Gain 0x919A
Cell15Gain 0x919C
Cell16Gain 0x919E
PackGain 0x91A0
TOSGain 0x91A2
LDGain 0x91A4
ADCGain 0x91A6
CCGain 0x91A8
CapacityGain 0x91AC
VcellOffset 0x91B0
VdivOffset 0x91B2
CoulombCounterOffsetSamples 0x91C6
BoardOffset 0x91C8
InternalTempOffset 0x91CA
CFETOFFTempOffset 0x91CB
DFETOFFTempOffset 0x91CC
ALERTTempOffset 0x91CD
TS1TempOffset 0x91CE
TS2TempOffset 0x91CF
TS3TempOffset 0x91D0
HDQTempOffset 0x91D1
DCHGTempOffset 0x91D2
DDSGTempOffset 0x91D3
IntGain 0x91E2
Intbaseoffset 0x91E4
IntMaximumAD 0x91E6
IntMaximumTemp 0x91E8
T18kCoeffa1 0x91EA
T18kCoeffa2 0x91EC
T18kCoeffa3 0x91EE
T18kCoeffa4 0x91F0
T18kCoeffa5 0x91F2
T18kCoeffb1 0x91F4
T18kCoeffb2 0x91F6
T18kCoeffb3 0x91F8
T18kCoeffb4 0x91FA
T18kAdc0 0x91FE
T180kCoeffa1 0x9200
T180kCoeffa2 0x9202
T180kCoeffa3 0x9204
T180kCoeffa4 0x9206
T180kCoeffa5 0x9208
T180kCoeffb1 0x920A
T180kCoeffb2 0x920C
T180kCoeffb3 0x920E
T180kCoeffb4 0x9210
T180kAdc0 0x9214
CustomCoeffa1 0x9216
CustomCoeffa2 0x9218
CustomCoeffa3 0x921A
CustomCoeffa4 0x921C
CustomCoeffa5 0x921E
CustomCoeffb1 0x9220
CustomCoeffb2 0x9222
CustomCoeffb3 0x9224
CustomCoeffb4 0x9226
CustomRc0 0x9228
CustomAdc0 0x922A
CoulombCounterDeadband 0x922D
CUVThresholdOverride 0x91D4
COVThresholdOverride 0x91D6
MinBlowFuseVoltage 0x9231
FuseBlowTimeout 0x9233
PowerConfig 0x9234
REG12Config 0x9236
REG0Config 0x9237
HWDRegulatorOptions 0x9238
CommType 0x9239
I2CAddress 0x923A
SPIConfiguration 0x923C
CommIdleTime 0x923D
CFETOFFPinConfig 0x92FA
DFETOFFPinConfig 0x92FB
ALERTPinConfig 0x92FC
TS1Config 0x92FD
TS2Config 0x92FE
TS3Config 0x92FF
HDQPinConfig 0x9300
DCHGPinConfig 0x9301
DDSGPinConfig 0x9302
DAConfiguration 0x9303
VCellMode 0x9304
CC3Samples 0x9307
ProtectionConfiguration 0x925F
EnabledProtectionsA 0x9261
EnabledProtectionsB 0x9262
EnabledProtectionsC 0x9263
CHGFETProtectionsA 0x9265
CHGFETProtectionsB 0x9266
