ControlStatus 0x00
SafetyAlertA 0x02
SafetyStatusA 0x03
SafetyAlertB 0x04
SafetyStatusB 0x05
SafetyAlertC 0x06
SafetyStatusC 0x07
PFAlertA 0x0A
PFStatusA 0x0B
PFAlertB 0x0C
PFStatusB 0x0D
PFAlertC 0x0E
PFStatusC 0x0F
PFAlertD 0x10
PFStatusD 0x11
BatteryStatus 0x12
Cell1Voltage 0x14
Cell2Voltage 0x16
Cell3Voltage 0x18
Cell4Voltage 0x1A
Cell5Voltage 0x1C
Cell6Voltage 0x1E
Cell7Voltage 0x20
Cell8Voltage 0x22
Cell9Voltage 0x24
Cell10Voltage 0x26
Cell11Voltage 0x28
Cell12Voltage 0x2A
Cell13Voltage 0x2C
Cell14Voltage 0x2E
Cell15Voltage 0x30
Cell16Voltage 0x32
StackVoltage 0x34
PACKPinVoltage 0x36
LDPinVoltage 0x38
CC2Current 0x3A
AlarmStatus 0x62
AlarmRawStatus 0x64
AlarmEnable 0x66
IntTemperature 0x68
CFETOFFTemperature 0x6A
DFETOFFTemperature 0x6C
ALERTTemperature 0x6E
TS1Temperature 0x70
TS2Temperature 0x72
TS3Temperature 0x74
HDQTemperature 0x76
DCHGTemperature 0x78
DDSGTemperature 0x7A
FETStatus 0x7F
